k           maxexp   maxprob     bicrit
1           10       10          12
2           22       22          25
3           30       30          35
4           37       35          42
5           43       41          46
6           49       48          51
7           52       54          55
8           56       58          59
9           60       66          64
10          63       67          68
11          66       72          71
12          71       75          75
13          75       78          78
14          79       80          82
15          83       85          85
16          87       88          89
17          91       91          92
18          94       92          96
19          95       94          101
20          100      97          105
21          102      98          108
22          106      101         111
23          110      103         115
24          114      105         116
25          117      109         119
26          122      112         122
27          125      115         124
28          127      119         127
29          129      120         129
30          131      122         132
31          135      123         136
32          138      124         140
33          138      125         143
34          141      126         145
35          144      128         147
36          145      133         150
37          147      136         154
38          149      138         157
39          154      139         160
40          157      141         163
