k         maxexp   maxprob     bicrit
1         109      109         118
2         190      190         200
3         259      259         262
4         294      303         301
5         339      329         326
6         364      364         352
7         380      378         378
8         398      398         396
9         423      413         416
10        426      416         437
11        430      440         455
12        453      458         470
13        467      475         492
14        484      498         509
15        487      509         523
16        507      522         536
17        522      525         551
18        538      536         568
19        540      544         579
20        569      552         581
21        581      552         591
22        587      562         597
23        589      578         607
24        589      594         614
25        602      605         623
26        611      629         634
27        631      630         645
28        643      631         654
29        644      644         665
30        654      665         675
31        661      672         683
32        669      683         692
33        673      690         698
34        684      699         706
35        695      707         711
36        695      712         718
37        699      717         726
38        702      735         733
39        715      742         739
40        718      754         752
