q              heu15    heu30     heu40     bi15      bi30     bi40
0.005           67        99        117       52        86       106
0.01            68        99        114       52        86       106
0.05            62        86        109       52        86       106
0.1             60        87        106       52        86       106
0.2             57        83        103       52        86       106
0.5             47        73        95        52        86       106
0.7             45        71        86        52        86       106
0.9             42        70        85        52        86       106
0.95            37        62        77        52        86       104
0.995           30        58        74        52        86        97
