q         heu15    heu30     heu40     bi15      bi30     bi40
0.005     903      991       1045      787       948      1046
0.01      868      997       1058      787       948      1046
0.05      849      984       1061      787       948      1046
0.1       837      990       1074      787       948      1046
0.2       814      972       1055      787       948      1046
0.5       785      934       1021      787       948      1046
0.7       760      912       997       787       948      1046
0.9       727      884       972       787       948      1046
0.95      711      840       896       787       948      1043
0.995     660      773       822       787       945      994
