q          heu15    heu30     heu40     bi15      bi30     bi40
0.005      363      514       582       312       472      559
0.01       378      500       573       312       472      559
0.05       378      513       600       312       472      559
0.1        357      503       595       312       472      559
0.2        341      484       576       312       472      559
0.5        310      457       538       312       472      559
0.7        304      450       529       312       472      559
0.9        280      425       501       312       472      559
0.95       263      404       482       312       472      556
0.995      229      361       435       312       471      526
