q              heu15    heu30     heu40     bi15      bi30     bi40
0.005          1664     2014      2193      1846      1869     2068
0.01           1684     2073      2302      1431      1869     2068
0.05           1591     1989      2154      1431      1869     2068
0.1            1634     1994      2174      1431      1869     2068
0.2            1550     1936      2143      1431      1869     2068
0.5            1407     1847      2022      1431      1869     2068
0.7            1353     1789      1999      1431      1869     2068
0.9            1251     1685      1925      1431      1869     2068
0.95           1213     1669      1852      1431      1869     2057
0.995          994      1436      1688      1431      1855     1953
