k           maxexp    maxprob        bicrit
1           1913      1913           1692
2           3643      3643           3495
3           5288      5288           5151
4           6757      6757           6635
5           7687      7687           7478
6           8208      8120           7992
7           8641      8641           8534
8           8858      8858           8809
9           9087      9078           9038
10          9307      9307           9289
11          9524      9524           9440
12          9754      9754           9596
13          9887      9887           9772
14          10088     10008          9898
15          10210     10210          9986
16          10284     10288          10080
17          10288     10448          10208
18          10355     10539          10352
19          10400     10624          10484
20          10485     10730          10594
21          10570     10735          10681
22          10729     10880          10766
23          10842     10979          10859
24          10929     11066          10957
25          11074     11174          11066
26          11180     11219          11168
27          11299     11332          11269
28          11407     11451          11388
29          11555     11536          11481
30          11657     11621          11553
31          11736     11768          11647
32          11820     11818          11725
33          11905     11885          11817
34          11983     11926          11909
35          12042     12028          12017
36          12148     12109          12086
37          12253     12214          12173
38          12345     12253          12251
39          12421     12401          12329
40          12499     12476          12404
