k           maxexp     maxprob         bicrit
1           34148      34148           38075
2           56593      50724           57802
3           73169      71237           74760
4           93682      83656           84601
5           106101     106101          97220
6           111327     111327          104344
7           115134     115134          110611
8           120869     120869          115567
9           122181     125576          119752
10          126889     126889          122248
11          127465     127465          125784
12          129553     130113          128294
13          132200     133815          130538
14          134826     135903          133170
15          136829     139278          135122
16          140204     139969          137170
17          140876     141800          139316
18          141608     142446          141353
19          143439     143483          143149
20          145553     144154          144734
21          146810     145398          146593
22          148053     147450          147489
23          148245     148037          149142
24          149579     149293          150765
25          151091     151048          152096
26          152193     151455          152894
27          154193     153455          154025
28          154621     155501          155098
29          155314     156194          156157
30          156463     156493          157141
31          157449     156994          158366
32          158516     158143          159910
33          158815     158567          161232
34          159317     159411          162082
35          159724     160559          163176
36          160311     161225          164578
37          160583     162119          165421
38          161229     162469          166006
39          161636     163783          166785
40          161943     164281          167549
