k           maxexp    maxprob       bicrit
1           7842      7842          7623
2           14472     13763         13788
3           20394     20394         19595
4           25082     25082         24531
5           28361     28361         27305
6           30182     30182         28725
7           31043     31877         30609
8           32481     32737         31796
9           34175     34175         33158
10          35698     35698         34559
11          36219     36219         35365
12          37274     37274         36322
13          37719     37793         36991
14          38328     38403         37599
15          38848     38848         38175
16          39394     39304         38580
17          39861     39826         38979
18          40123     40314         39408
19          40645     40898         39729
20          41132     41348         40148
21          41377     41492         40559
22          42190     41663         40911
23          42640     41940         41349
24          43224     42512         41710
25          43797     42600         42137
26          43968     43413         42471
27          44270     43715         42831
28          44726     43977         43019
29          44814     44316         43384
30          45153     44546         43728
31          45236     44947         44012
32          45349     45493         44307
33          45750     45622         44558
34          46231     45899         44861
35          46462     46169         45213
36          46527     46475         45518
37          46803     46716         45820
38          47109     46848         46124
39          47246     46983         46304
40          47375     47219         46552
