k         maxexp    maxprob       bicrit
1         251       488           451
2         513       679           812
3         1002      941           1054
4         1272      1217          1352
5         1333      1487          1570
6         1609      1609          1791
7         1799      1778          2018
8         2093      1904          2164
9         2168      2092          2337
10        2168      2281          2525
11        2356      2380          2679
12        2518      2492          2801
13        2578      2572          2919
14        2690      2734          3028
15        2789      2809          3148
16        2869      2886          3222
17        2946      2946          3306
18        3105      2967          3428
19        3160      3034          3531
20        3180      3108          3589
21        3232      3117          3647
22        3283      3172          3714
23        3356      3252          3791
24        3411      3338          3858
25        3450      3394          3928
26        3542      3471          3984
27        3629      3514          4043
28        3646      3539          4094
29        3770      3634          4135
30        3838      3686          4224
31        3894      3769          4284
32        3958      3827          4317
33        4015      3974          4380
34        4068      4057          4424
35        4080      4118          4497
36        4105      4160          4564
37        4151      4202          4614
38        4202      4296          4660
39        4202      4335          4731
40        4242      4404          4791
