k       maxexp    maxprob      bicrit
1       72        92           83
2       164       164          157
3       228       228          228
4       279       279          267
5       316       336          323
6       377       390          379
7       430       427          425
8       487       487          487
9       511       511          542
10      540       569          592
11      598       591          624
12      615       632          654
13      636       661          683
14      657       680          709
15      675       691          737
16      694       718          772
17      727       749          800
18      756       766          820
19      778       787          841
20      790       805          871
21      816       818          903
22      880       838          915
23      921       872          944
24      950       890          970
25      970       914          992
26      984       940          1009
27      998       963          1025
28      1007      1010         1041
29      1031      1013         1064
30      1052      1013         1084
31      1064      1034         1102
32      1078      1050         1118
33      1084      1060         1136
34      1101      1092         1152
35      1118      1106         1164
36      1133      1115         1181
37      1136      1144         1201
38      1143      1164         1216
39      1160      1178         1234
40      1180      1190         1252
