k         maxexp    maxprob      bicrit
1         1527      1527         2038
2         2193      2193         2791
3         2905      2905         3442
4         3482      3561         3846
5         3971      4051         4488
6         4813      4627         4976
7         5415      5469         5551
8         6071      5598         6105
9         6676      6202         6464
10        6805      6724         6727
11        7101      7000         7000
12        7204      7307         7290
13        7670      7604         7636
14        7897      7704         7819
15        8221      7806         8012
16        8421      8130         8160
17        8569      8279         8362
18        8660      8478         8637
19        8736      8590         8717
20        8830      8680         8812
21        9029      8862         8990
22        9029      8925         9233
23        9125      9020         9380
24        9220      9117         9516
25        9316      9212         9658
26        9316      9270         9771
27        9391      9529         9954
28        9505      9644         10065
29        9600      9739         10189
30        9859      9893         10314
31        9919      9976         10439
32        9977      10070        10585
33        10089     10201        10701
34        10189     10268        10823
35        10286     10643        10916
36        10386     10708        11009
37        10569     10891        11107
38        10569     10947        11220
39        10614     11071        11299
40        10768     11199        11389
