k         maxexp    maxprob          bicrit
1         2970      2245             2659
2         5216      5216             4835
3         7197      7197             6702
4         7198      7671             7230
5         7198      8142             7706
6         7671      8411             8041
7         7671      8880             8387
8         7671      8964             8710
9         7671      9233             8925
10        7671      9233             9335
11        8132      9517             9555
12        8366      9688             9747
13        8366      9726             9850
14        8366      9815             9995
15        8366      9852             10123
16        8652      9896             10203
17        8936      10009            10318
18        9107      10105            10460
19        9575      10382            10660
20        9923      10434            10813
21        10039     10546            10918
22        10039     10718            10972
23        10039     10718            11042
24        10039     10901            11114
25        10039     11014            11182
26        10221     11144            11293
27        10270     11144            11506
28        10270     11206            11612
29        10372     11265            11710
30        10372     11465            11713
31        10372     11505            11770
32        10461     11571            11842
33        10461     11731            11882
34        10545     11794            12031
35        10629     11878            12066
36        10629     11921            12165
37        10629     12013            12220
38        10743     12137            12261
39        10857     12200            12343
40        10857     12277            12389
