k         maxexp    maxprob     bicrit
1         59       59           82
2         182      182          163
3         234      235          214
4         287      296          262
5         348      347          317
6         399      386          377
7         443      438          422
8         468      475          458
9         507      510          499
10        542      552          536
11        556      577          575
12        587      621          607
13        629      634          647
14        666      666          688
15        690      702          719
16        722      726          754
17        763      758          794
18        800      773          828
19        841      803          861
20        861      825          893
21        900      867          920
22        915      894          952
23        943      934          984
24        985      975          1012
25        1021     1000         1037
26        1038     1022         1062
27        1061     1057         1085
28        1082     1077         1106
29        1089     1104         1130
30        1114     1134         1152
31        1138     1158         1170
32        1163     1183         1189
33        1185     1206         1210
34        1201     1228         1231
35        1226     1258         1250
36        1234     1283         1274
37        1255     1303         1297
38        1282     1323         1319
39        1312     1343         1341
40        1337     1365         1354
