k       maxexp    maxprob      bicrit
1       1931      1931         3835
2       6297      6297         6292
3       7694      7736         7880
4       9835      8828         9246
5       10636     10470        10771
6       11337     11863        12131
7       12014     13357        13096
8       12599     14897        14103
9       13940     15423        14897
10      13978     16190        15513
11      14888     17206        16569
12      15218     18490        17675
13      16754     18964        18387
14      16754     19175        19024
15      16754     19648        19654
16      17160     20996        19894
17      17677     21133        20808
18      18571     21506        21169
19      18968     21636        21563
20      19592     21966        21810
21      19828     22621        22346
22      20474     22699        22663
23      20685     23435        23062
24      21700     23692        23468
25      21942     23811        23750
26      22184     24013        24077
26      22308     24911        24235
28      22347     24912        24567
29      22347     24912        24860
30      22347     25237        25170
31      22477     25532        25523
32      23544     25958        25597
33      23917     25999        25968
34      23917     26009        26170
35      24403     26009        26375
36      24695     26360        26545
37      24744     26416        26805
38      24744     26812        27124
39      24848     27254        27440
40      25136     27358        27789
